bench,bpred,size,metric,value
m88ksim,mbp,64KB,misses,10412
perl,mbp,128KB,misses,57494
perl,mbp,16KB,misses,67164
perl,mbp,1MB,misses,58522
perl,mbp,256KB,misses,57243
perl,mbp,32KB,misses,66558
perl,mbp,512KB,misses,56928
perl,mbp,64KB,misses,58308
vortex,mbp,128KB,misses,6398
vortex,mbp,16KB,misses,6244
vortex,mbp,1MB,misses,6847
vortex,mbp,256KB,misses,6533
vortex,mbp,32KB,misses,6174
vortex,mbp,512KB,misses,6700
vortex,mbp,64KB,misses,6366
fpppp,mbp,128KB,sim_num_insn,15917
fpppp,mbp,16KB,sim_num_insn,15917
fpppp,mbp,1MB,sim_num_insn,15917
fpppp,mbp,256KB,sim_num_insn,15917
fpppp,mbp,32KB,sim_num_insn,15917
fpppp,mbp,512KB,sim_num_insn,15917
fpppp,mbp,64KB,sim_num_insn,15917
gcc,mbp,128KB,sim_num_insn,10000003
gcc,mbp,16KB,sim_num_insn,10000003
gcc,mbp,1MB,sim_num_insn,10000003
gcc,mbp,256KB,sim_num_insn,10000003
gcc,mbp,32KB,sim_num_insn,10000003
gcc,mbp,512KB,sim_num_insn,10000003
gcc,mbp,64KB,sim_num_insn,10000003
go,mbp,128KB,sim_num_insn,10000000
go,mbp,16KB,sim_num_insn,10000000
go,mbp,1MB,sim_num_insn,10000000
go,mbp,256KB,sim_num_insn,10000000
go,mbp,32KB,sim_num_insn,10000000
go,mbp,512KB,sim_num_insn,10000000
go,mbp,64KB,sim_num_insn,10000000
ijpeg,mbp,128KB,sim_num_insn,10000002
ijpeg,mbp,16KB,sim_num_insn,10000002
ijpeg,mbp,1MB,sim_num_insn,10000002
ijpeg,mbp,256KB,sim_num_insn,10000002
ijpeg,mbp,32KB,sim_num_insn,10000001
ijpeg,mbp,512KB,sim_num_insn,10000002
ijpeg,mbp,64KB,sim_num_insn,10000001
li,mbp,128KB,sim_num_insn,10000000
li,mbp,16KB,sim_num_insn,10000000
li,mbp,1MB,sim_num_insn,10000000
li,mbp,256KB,sim_num_insn,10000000
li,mbp,32KB,sim_num_insn,10000000
li,mbp,512KB,sim_num_insn,10000000
li,mbp,64KB,sim_num_insn,10000000
m88ksim,mbp,128KB,sim_num_insn,541138
m88ksim,mbp,16KB,sim_num_insn,541138
m88ksim,mbp,1MB,sim_num_insn,541138
m88ksim,mbp,256KB,sim_num_insn,541138
m88ksim,mbp,32KB,sim_num_insn,541138
m88ksim,mbp,512KB,sim_num_insn,541138
m88ksim,mbp,64KB,sim_num_insn,541138
perl,mbp,128KB,sim_num_insn,10000001
perl,mbp,16KB,sim_num_insn,10000001
perl,mbp,1MB,sim_num_insn,10000001
perl,mbp,256KB,sim_num_insn,10000001
perl,mbp,32KB,sim_num_insn,10000001
perl,mbp,512KB,sim_num_insn,10000001
perl,mbp,64KB,sim_num_insn,10000001
vortex,mbp,128KB,sim_num_insn,402533
vortex,mbp,16KB,sim_num_insn,402533
vortex,mbp,1MB,sim_num_insn,402533
vortex,mbp,256KB,sim_num_insn,402533
vortex,mbp,32KB,sim_num_insn,402533
vortex,mbp,512KB,sim_num_insn,402533
vortex,mbp,64KB,sim_num_insn,402533
